LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
F24 - BDC - BOMET - Spirits - 14T,NBO,Rift,BOMET,14T,,51352.39
F24 - BDC - BOMET - Spirits - 30T,NBO,Rift,BOMET,30T,,80244.39
F24 - BDC - BOMET - Spirits - 7.5T,NBO,Rift,BOMET,7.5T,,40060.89
F24 - BDC - BOMET - Spirits - P/Up,NBO,Rift,BOMET,P/UP,,41434.88
F24 - BDC - ELDORET - Spirits - 14T,NBO,Rift,ELDORET,14T,,71556.97
F24 - BDC - ELDORET - Spirits - 30T,NBO,Rift,ELDORET,30T,,112067.9
F24 - BDC - ELDORET - Spirits - 7.5T,NBO,Rift,ELDORET,7.5T,,64505.51
F24 - BDC - ELDORET - Spirits - P/Up,NBO,Rift,ELDORET,P/UP,,64359.6
F24 - BDC - KERICHO EB - Spirits - 14T,NBO,Rift,KERICHO,14T,,58850.8
F24 - BDC - KERICHO EB - Spirits - 30T,NBO,Rift,KERICHO,30T,,92336.02
F24 - BDC - KERICHO EB - Spirits - 7.5T,NBO,Rift,KERICHO,7.5T,,45729.2
F24 - BDC - KERICHO EB - Spirits - P/Up,NBO,Rift,KERICHO,P/UP,,35587.16
F24 - BDC - KISII - Spirits - 14T,NBO,Rift,KISII,14T,,66224.13
F24 - BDC - KISII - Spirits - 30T,NBO,Rift,KISII,30T,,42390.7
F24 - BDC - KISII - Spirits - 7.5T,NBO,Rift,KISII,7.5T,,53894.98
F24 - BDC - KISII - Spirits - P/Up,NBO,Rift,KISII,P/UP,,44874.07
F24 - BDC - KITALE - Spirits - 14T,NBO,Rift,KITALE,14T,,85177.05
F24 - BDC - KITALE - Spirits - 30T,NBO,Rift,KITALE,30T,,67930.63
F24 - BDC - KITALE - Spirits - 7.5T,NBO,Rift,KITALE,7.5T,,71582.01
F24 - BDC - KITALE - Spirits - P/Up,NBO,Rift,KITALE,P/UP,,71233.06
F24 - BDC - NAIVASHA EB - Spirits - 14T,NBO,Rift,NAIVASHA,14T,,25970.56
F24 - BDC - NAIVASHA EB - Spirits - 30T,NBO,Rift,NAIVASHA,30T,,39670.48
F24 - BDC - NAIVASHA EB - Spirits - 7.5T,NBO,Rift,NAIVASHA,7.5T,,20732.08
F24 - BDC - NAIVASHA EB - Spirits - P/Up,NBO,Rift,NAIVASHA,P/UP,,25385.67
F24 - BDC - NAKURU - Spirits - 14T,NBO,Rift,NAKURU,14T,,39149.01
F24 - BDC - NAKURU - Spirits - 30T,NBO,Rift,NAKURU,30T,,47250.94
F24 - BDC - NAKURU - Spirits - 7.5T,NBO,Rift,NAKURU,7.5T,,32775.03
F24 - BDC - NAKURU - Spirits - P/Up,NBO,Rift,NAKURU,P/UP,,32661.15
F24 - BDC - NAKURU EB - Spirits - 14T,NBO,Rift,NAKURU,14T,,39149.01
F24 - BDC - NAKURU EB - Spirits - 30T,NBO,Rift,NAKURU,30T,,47250.94
F24 - BDC - NAKURU EB - Spirits - 7.5T,NBO,Rift,NAKURU,7.5T,,32775.03
F24 - BDC - NAKURU EB - Spirits - P/Up,NBO,Rift,NAKURU,P/UP,,32661.15
F24 - BDC - NAROK EB - Spirits - 14T,NBO,Rift,NAROK,14T,,35587.26
F24 - BDC - NAROK EB - Spirits - 30T,NBO,Rift,NAROK,30T,,55177.99
F24 - BDC - NAROK EB - Spirits - 7.5T,NBO,Rift,NAROK,7.5T,,28001.7
F24 - BDC - NAROK EB - Spirits - P/Up,NBO,Rift,NAROK,P/UP,,25470.56
F24 - BDC - NJORO EB - Spirits - 14T,NBO,Rift,NJORO,14T,,59839.6
F24 - BDC - NJORO EB - Spirits - 30T,NBO,Rift,NJORO,30T,,66967.33
F24 - BDC - NJORO EB - Spirits - 7.5T,NBO,Rift,NJORO,7.5T,,39561.01
F24 - BDC - NJORO EB - Spirits - P/Up,NBO,Rift,NJORO,P/UP,,33612.86
F24 - BDC - NYAHURURU - Spirits - 14T,NBO,Rift,NYAHURURU,14T,,43835.51
F24 - BDC - NYAHURURU - Spirits - 30T,NBO,Rift,NYAHURURU,30T,,68478.78
F24 - BDC - NYAHURURU - Spirits - 7.5T,NBO,Rift,NYAHURURU,7.5T,,39762.37
F24 - BDC - NYAHURURU - Spirits - P/Up,NBO,Rift,NYAHURURU,P/UP,,40172.29
F24 -BDC -BOMET - Beer - 14T,NBO,Rift,BOMET,14T,,51427.29
F24 -BDC -BOMET - Beer - 30T,NBO,Rift,BOMET,30T,,80387.37
F24 -BDC -BOMET - Beer - 7.5T,NBO,Rift,BOMET,7.5T,,40183.44
F24 -BDC -BOMET - Beer - P/up,NBO,Rift,BOMET,P/UP,,41434.88
F24 -BDC -NAIVASHA - Beer - 14T,NBO,Rift,NAIVASHA,14T,,26045.45
F24 -BDC -NAIVASHA - Beer - 30T,NBO,Rift,NAIVASHA,30T,,39813.46
F24 -BDC -NAIVASHA - Beer - 7.5T,NBO,Rift,NAIVASHA,7.5T,,20854.63
F24 -BDC -NAIVASHA - Beer - P/up,NBO,Rift,NAIVASHA,P/UP,,25385.67
F24 -BDC -NAROK - Beer - 14T,NBO,Rift,NAROK,14T,,35662.16
F24 -BDC -NAROK - Beer - 30T,NBO,Rift,NAROK,30T,,55320.98
F24 -BDC -NAROK - Beer - 7.5T,NBO,Rift,NAROK,7.5T,,28124.25
F24 -BDC -NAROK - Beer - P/up,NBO,Rift,NAROK,P/UP,,25470.56
KBL NBO F20 - BOMET 14T BEER,NBO,Rift,BOMET,14T,,59893.87
KBL NBO F20 - BOMET 14T KEG,NBO,Rift,BOMET,14T,,59956.94
KBL NBO F20 - Bomet 14T SPIRIT,NBO,Rift,BOMET,14T,,59168.18
KBL NBO F20 - BOMET 30T BEER,NBO,Rift,BOMET,30T,,95625.97
KBL NBO F20 - BOMET 30T KEG,NBO,Rift,BOMET,30T,,95729.92
KBL NBO F20 - Bomet 30T SPIRIT,NBO,Rift,BOMET,30T,,94876.91
KBL NBO F20 - BOMET 7.5T BEER,NBO,Rift,BOMET,7.5T,,45938.54
KBL NBO F20 - BOMET 7.5T KEG,NBO,Rift,BOMET,7.5T,,45966.58
KBL NBO F20 - Bomet 7.5T SPIRIT,NBO,Rift,BOMET,7.5T,,45196.5
KBL NBO F20 - BOMET P/up Beer,NBO,Rift,BOMET,P/UP,,41626.79
KBL NBO F20 - BOMET P/up Spirit,NBO,Rift,BOMET,P/UP,,40926.79
KBL NBO F20 - BUNGOMA 14T BEER,NBO,Rift,BUNGOMA,14T,,104372.05
KBL NBO F20 - BUNGOMA 30T BEER,NBO,Rift,BUNGOMA,30T,,115190.0
KBL NBO F20 - BUNGOMA 7.5T BEER,NBO,Rift,BUNGOMA,7.5T,,79483.51
KBL NBO F20 - BUNGOMA P/up Beer,NBO,Rift,BUNGOMA,P/UP,,71857.94
KBL NBO F20 - ELDORET 14T BEER,NBO,Rift,ELDORET,14T,,82990.52
KBL NBO F20 - ELDORET 14T KEG,NBO,Rift,ELDORET,14T,,83053.59
KBL NBO F20 - ELDORET 14T SPIRIT,NBO,Rift,ELDORET,14T,,82264.82
KBL NBO F20 - ELDORET 30T BEER,NBO,Rift,ELDORET,30T,,132924.14
KBL NBO F20 - ELDORET 30T KEG,NBO,Rift,ELDORET,30T,,133028.09
KBL NBO F20 - ELDORET 30T SPIRIT,NBO,Rift,ELDORET,30T,,132175.08
KBL NBO F20 - ELDORET 7.5T BEER,NBO,Rift,ELDORET,7.5T,,63507.47
KBL NBO F20 - ELDORET 7.5T KEG,NBO,Rift,ELDORET,7.5T,,63535.5
